Row #,Facility,TRIF ID,Latitude,Longitude,Total On-site,Total Off-site,Total On- and 
1,"A FINKL & SONS CO DBA FINKL STEEL - CHICAGO.1355 E 93RD ST, CHICAGO ILLINOIS 60619 (COOK)",60619VRSNC1355E,41.729,-87.592,421.5,"1,080,437.00","1,080,858.50"
2,"AALLIED DIE CASTING CO OF IL.3021 CULLERTON DR, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131LLDDC3021C,41.934,-87.891,"2,184.00",0,"2,184.00"
3,"ABLE DIE CASTING CORP.3907 WESLEY TERRACE, SCHILLER PARK ILLINOIS 60176 (COOK)",6017WBLDCS397WE,41.95,-87.863,159,0,159
4,"ABLE ELECTROPOLISHING CO INC.2001 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",60623BLLCT2001S,41.854,-87.736,"30,903.60","22,439.60","53,343.20"
5,"ACCU  LABS INC.4831 S WHIPPLE ST, CHICAGO ILLINOIS 60632 (COOK)",60632RNNC04831S,41.805,-87.7,.,0,0
6,"ACCURATE ANODIZING.3130 S AUSTIN BLVD, CICERO ILLINOIS 60804 (COOK)",60650CCRTN3130S,41.835,-87.774,41,0,41
7,"ACCURATE DISPERSIONS.1111 MAPLE AVE, HOMEWOOD ILLINOIS 60430 (COOK)",60430CCRTD1111M,41.567,-87.645,55,"2,754.88","2,809.88"
8,"ACCURATE DISPERSIONS.192 W 155TH ST, SOUTH HOLLAND ILLINOIS 60473 (COOK)",60473MCWHR192W1,41.614,-87.622,"5,475.00","3,262.60","8,737.60"
9,"ACCURATE THREADED FASTNERS.3550 W PRATT, LINCOLNWOOD ILLINOIS 60712 (COOK)",60645CCRTT3550W,42.006,-87.723,0,0,0
10,"ACE ANODIZING & IMPREGNATING INC.4161 BUTTERFIELD RD, HILLSIDE ILLINOIS 60162 (COOK)",60162CNDZN4161B,41.881,-87.885,"1,227.00",105.46,"1,332.46"
11,"ACID PRODUCTS CO INC.600 W 41ST ST, CHICAGO ILLINOIS 60609 (COOK)",60609CDPRD6W41S,41.821,-87.642,.,0,0
12,"ACME ALLIANCE LLC.3610 COMMERCIAL AVE, NORTHBROOK ILLINOIS 60062 (COOK)",60062CMDCS3610C,42.147,-87.868,306.6,3,309.6
13,"ACME FINISHING CO LLC.1595 E OAKTON ST, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007CMFNS1595O,42.021,-87.962,"25,921.00",0,"25,921.00"
14,"ADHESIVE COATING TECHNOLOGIES INC.420 NORTHGATE PKWY, WHEELING ILLINOIS 60090 (COOK)",60090CSTMT420NO,42.147,-87.929,"1,982.00",250,"2,232.00"
15,"AIRGAS SPECIALTY PRODUCTS-RIVERDALE IL.1200 W 138TH ST, RIVERDALE ILLINOIS 60827 (COOK)",60827LRCHN1200W,41.644,-87.652,"1,200.00",0,"1,200.00"
16,"ALCO SPRING INDUSTRIES.2300 EUCLID AVE, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",6041WLCSPR23EUC,41.495,-87.649,0.03,0.12,0.15
17,"ALLIED METAL CO.4528 W DIVISION ST, CHICAGO ILLINOIS 60651 (COOK)",60651LLDMT4528W,41.903,-87.739,"3,525.00",0,"3,525.00"
18,"ALLIED TUBE & CONDUIT CORP.16100 S LATHROP AVE, HARVEY ILLINOIS 60426 (COOK)",60426LLDTB16100,41.596,-87.642,"120,164.00","29,233.97","149,397.97"
19,"ALUMINUM COIL ANODIZING CORP.501 E LAKE ST, STREAMWOOD ILLINOIS 60107 (COOK)",60107LMNMC501EA,42.001,-88.174,499,0,499
20,"AMERICAN NICKEL WORKS.1223 W LAKE ST, CHICAGO ILLINOIS 60607 (COOK)",60607MRCNN1223W,41.885,-87.658,0,0,0
21,"AMERICAN NTN BEARING MANUFACTURING CORP.9515 WINONA AVE, SCHILLER PARK ILLINOIS 60176 (COOK)",60176MRCNN9515W,41.971,-87.866,0,0,0
22,"AMERICAN ZINC RECYCLING CORP.2701 E 114TH ST, CHICAGO ILLINOIS 60617 (COOK)",60617HRSHD2701E,41.688,-87.554,"5,875.66","1,916,850.80","1,922,726.46"
23,"AMITRON CORP.2001 LANDMEIER RD, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007MTRNC2001L,42.01,-87.953,182.85,"26,438.12","26,620.97"
24,"AMPEL INC.925 ESTES AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007MPLNC925ES,42.006,-87.974,9.1,374.33,383.43
25,"ARC-TRONICS INC.1150 PAGNI DR, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007RCTRN1150P,42.028,-87.967,2,0,2
26,"ARCELORMITTAL RIVERDALE LLC.13500 S PERRY AVE, RIVERDALE ILLINOIS 60827 (COOK)",60627CMSTL13500,41.656,-87.626,"16,235.40","1,270,224.00","1,286,459.40"
27,"ARDAGH GLASS INC.13850 COTTAGE GROVE AVE, DOLTON ILLINOIS 60419 (COOK)",60419BLLGL13850,41.642,-87.6,"1,796.10",136.12,"1,932.22"
28,"ARDAGH METAL BEVERAGE USA INC RE : CHICAGO PLANT.1101 W 43RD ST, CHICAGO ILLINOIS 60609 (COOK)",60609MRCNN1101W,41.814,-87.654,"252,158.00",19.61,"252,177.61"
29,"ARKEMA COATING RESINS.12840 S PULASKI RD, ALSIP ILLINOIS 60803 (COOK)",60658CRMLS12840,41.666,-87.717,"9,865.00","2,780.00","12,645.00"
30,"ARLINGTON PLATING CO INC.600 S VERMONT ST, PALATINE ILLINOIS 60078 (COOK)",60067RLNGT600SO,42.099,-88.038,"26,992.00","7,243.11","34,235.11"
31,"ARMACELL LLC.16800 S CANAL ST, SOUTH HOLLAND ILLINOIS 60473 (COOK)",60473RMCLL168SC,41.59,-87.628,0,5,5
32,"ASHLAND SPECIALTY INGREDIENTS.14303 PAXTON AVE, CALUMET CITY ILLINOIS 60409 (COOK)",60409SHLND142ND,41.637,-87.567,"5,375.00","46,148.00","51,523.00"
33,"ASPHALT OPERATING SERVICES OF CHICAGO LLC.2835 E 106TH ST, CHICAGO ILLINOIS 60617 (COOK)",6061WSPHLT2835E,41.703,-87.555,1.035,0,1.035
34,"ATLAS TUBE INC.1855 E 122ND ST, CHICAGO ILLINOIS 60633 (COOK)",60633WLDDT1855E,41.672,-87.578,6,258,264
35,"AVERY DENNISON.7542 N NATCHEZ, NILES ILLINOIS 60714 (COOK)",60648STMSN7542N,42.018,-87.789,4,545,549
36,"AXLETECH INTERNATIONAL.1120 W 119TH ST, CHICAGO ILLINOIS 60643 (COOK)",6080WSGRHT12WES,41.678,-87.65,0,0,0
37,"BEAVER OIL CO.6037 LENZI AVE, HODGKINS ILLINOIS 60525 (COOK)",60525BVRLC6037L,41.779,-87.857,0,"3,277.81","3,277.81"
38,"BEHR PROCESS CORP-CHICAGO.270 STATE ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411BHRPR270ST,41.527,-87.618,.,0,0
39,"BELMONT PLATING WORKS.3410 N RIVER RD, FRANKLIN PARK ILLINOIS 60131 (COOK)",60131BLMNT3410N,41.94,-87.854,"4,528.00","101,261.15","105,789.15"
40,"BLOMMER CHOCOLATE CO.600 W KINZIE ST, CHICAGO ILLINOIS 60610 (COOK)",60610BLMMR600WK,41.889,-87.644,"1,773.00","3,864.00","5,637.00"
41,"BLUEWATER THERMAL SOLUTIONS - PLANT 2.75 E LAKE ST, NORTHLAKE ILLINOIS 60164 (COOK)",60164HTMPN75ELA,41.9,-87.899,"1,255.00",21,"1,276.00"
42,"BODYCOTE THERMAL PROCESSING.1975 N RUBY ST, MELROSE PARK ILLINOIS 60160 (COOK)",60160LNDBR1975N,41.911,-87.868,"2,478.00",0,"2,478.00"
43,"BORGWARNER TRANSMISSION SYSTEMS.700 25TH AVE, BELLWOOD ILLINOIS 60104 (COOK)",60104BRGWR700SO,41.88,-87.865,"35,420.00",0,"35,420.00"
44,"BRAD FOOTE GEAR WORKS.3250 SOUTH CENTRAL AVENUE, CICERO ILLINOIS 60804 (COOK)",6080WBRDFT325SU,41.832,-87.763,0,19,19
45,"BRENNTAG GREAT LAKES LLC.4801 S AUSTIN AVE, CHICAGO ILLINOIS 60638 (COOK)",60638TBCHM4801S,41.806,-87.772,825,0,825
46,"BUHRKE INDUSTRIES LLC.501-511 W ALGONQUIN RD, ARLINGTON HEIGHTS ILLINOIS 60005 (COOK)",60005BRKND511WA,42.046,-87.99,0,0,0
47,"BULLEN MIDWEST INC.1140 E 103RD ST, CHICAGO ILLINOIS 60628 (COOK)",60628MSRYC1140E,41.708,-87.595,.,0,0
48,"BWAY CORP.3200 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",60623CNTRL3200S,41.835,-87.738,"52,579.00",0,"52,579.00"
49,"CALUMET BRASS FOUNDRY INC.14610 S LAKESIDE AVE, DOLTON ILLINOIS 60419 (COOK)",60419CLMTB14610,41.629,-87.611,"1,261.00",0,"1,261.00"
50,"CARBIT PAINT CO.927 W BLACKHAWK ST, CHICAGO ILLINOIS 60642 (COOK)",60622CRBTP927WB,41.907,-87.652,"3,676.00",0,"3,676.00"
51,"CARGILL INC INDUSTRIAL OILS & LUBRICANTS.12201 S TORRENCE AVE, CHICAGO ILLINOIS 60617 (COOK)",60617CRGLL12201,41.673,-87.555,"3,328.00",0,"3,328.00"
52,"CASTWELL PRODUCTS.7800 N AUSTIN AVE, SKOKIE ILLINOIS 60077 (COOK)",60077CSTWL7800N,42.024,-87.778,0.0152,0,0.0152
53,"CCI MANUFACTURING IL CORP.15550 CANAL BANK RD, LEMONT ILLINOIS 60439 (COOK)",60439NTCTM15550,41.682,-87.993,"9,192.00",0,"9,192.00"
54,"CE NIEHOFF & CO.2021 LEE ST, EVANSTON ILLINOIS 60202 (COOK)",60202CNHFF221LE,42.036,-87.702,"14,800.00",0,"14,800.00"
55,"CENTURY PLATING CO INC.2939 N OAKLEY, CHICAGO ILLINOIS 60618 (COOK)",60618CNTRY2939N,41.935,-87.685,15,"61,705.05","61,720.05"
56,"CHASE PRODUCTS CO.2727 GARDNER RD, BROADVIEW ILLINOIS 60155 (COOK)",60153CHSPR19THS,41.854,-87.867,"3,441.00",0,"3,441.00"
57,"CHEM-PLATE INDUSTRIES.1250 MORSE AVENUE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007PNDST1250M,42.001,-87.968,"1,690.00","37,139.30","38,829.30"
58,"CHEM-PLATE INDUSTRIES INC.1800 TOUHY AVENUE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",6000WCHMPL18TUH,42.008,-87.957,417,0,417
59,"CHEM-PLATE INDUSTRIES INC.1990 E DEVON AVENUE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007CHMPL1990E,41.994,-87.953,946,"68,541.63","69,487.63"
60,"CHICAGO AEROSOL LLC.8407 S 77TH AVE, BRIDGEVIEW ILLINOIS 60455 (COOK)",60455HYDRS8407S,41.739,-87.811,"1,070.00",0,"1,070.00"
61,"CHICAGO ANODIZING CO.4112 W LAKE ST, CHICAGO ILLINOIS 60624 (COOK)",60624CHCGN4112W,41.886,-87.729,500,0,500
62,"CHICAGO CIRCUITS CORP.2685 UNITED LN, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007CHCGC2685U,41.988,-87.945,0,12.78,12.78
63,"CHICAGO EXTRUDED METALS CO.1601 S 54TH AVE, CICERO ILLINOIS 60804 (COOK)",60650CHCGX1601S,41.858,-87.758,405.05,"5,442.93","5,847.98"
64,"CHICAGO HEIGHTS STEEL.211 E MAIN ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411CHCGH211EM,41.498,-87.629,"106,612.00",0,"106,612.00"
65,"CHICAGO POWDERED METAL PRODUCT S CO.9700 WAVELAND AVE, SCHILLER PARK ILLINOIS 60176 (COOK)",60176CHCGP9700W,41.946,-87.87,10,4.13,14.13
66,"CHICAGO STEEL CONTAINER CORP.1846 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",60623CHCGS1846S,41.855,-87.738,"36,649.00",0,"36,649.00"
67,"CHICAGO TURNRITE CO INC.4459 W LAKE ST, CHICAGO ILLINOIS 60624 (COOK)",60624CHCGT4459W,41.886,-87.737,0,0,0
68,"CHROMIUM INDUSTRIES LLC.4645 W CHICAGO AVE, CHICAGO ILLINOIS 60651 (COOK)",60651CHRMM4645W,41.895,-87.743,19.01,"1,938.07","1,957.08"
69,"CID RECYCLING & DISPOSAL FACILITY.138TH ST & INTERSTATE 94, CALUMET CITY ILLINOIS 60409 (COOK)",60409CDRCY138TH,41.643,-87.57,"27,194.41","10,681.24","37,875.65"
70,"CIRCUIT ENGINEERING LLC.1390 LUNT AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",6000WCRCTN139LB,42.002,-87.965,0,"6,958.56","6,958.56"
71,"CITGO PETROLEUM CORP CICERO LUBRICANTS MANUFACTURING PLANT.3737 S CICERO AVE, CICERO ILLINOIS 60804 (COOK)",60650CTGPT3737S,41.824,-87.742,0,0,0
72,"CLEAN HARBORS RECYCLING SERVICES OF CHICAGO LLC.1445 W 42ND, CHICAGO ILLINOIS 60609 (COOK)",60609SFTYK1445W,41.817,-87.661,"16,440.00","258,153.84","274,593.84"
73,"CMP ANODIZING.1530 LOUIS AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",6000WCMPND153LU,42.014,-87.963,19,555.95,574.95
74,"COLOR COMMUNICATIONS INC.4242 W FILLMORE, CHICAGO ILLINOIS 60624 (COOK)",60624CLRCM4242W,41.868,-87.731,"9,580.00",10,"9,590.00"
75,"COMMERCIAL FORGED PRODUCTS.5757 W 65TH STREET, BEDFORD PARK ILLINOIS 60638 (COOK)",60638CMMRC5757W,41.773,-87.765,0,0,0
76,"CONCRETE SPECIALTIES CO (FRANKLIN PARK).11825 FRANKLIN AVE., FRANKLIN PARK ILLINOIS 60131 (COOK)",6013WCNCRT11825,.,.,388.9,268.8,657.7
77,"CONTOUR SAWS INC.900 GRACELAND AVE, DES PLAINES ILLINOIS 60016 (COOK)",60016CNTRS1217T,42.038,-87.894,0,0,0
78,"COREY STEEL CO.2800 S 61ST. CT, CICERO ILLINOIS 60804 (COOK)",60804CRYST2800S,41.84,-87.777,0,0,0
79,"CORNELL FORGE CO.6666 W 66TH ST, CHICAGO ILLINOIS 60638 (COOK)",6063WCRNLL6666W,.,.,"7,136.00","7,118.00","14,254.00"
80,"CRAFTSMAN PLATING & TINNING CORP.1239 W SCHOOL ST, CHICAGO ILLINOIS 60657 (COOK)",60657CRFTS1239W,41.941,-87.66,90,"4,634.13","4,724.13"
81,"CROWN CHEMICAL INC.4701 W 136TH ST, CRESTWOOD ILLINOIS 60445 (COOK)",60445CRWNC471W1,41.645,-87.735,.,0,0
82,"DAUBERT CHEMICAL CO.4700 S CENTRAL AVE, CHICAGO ILLINOIS 60638 (COOK)",60638DBRTC4700S,41.809,-87.764,"6,181.00",0,"6,181.00"
83,"DAUBERT CROMWELL LLC.12701 S RIDGEWAY AVE, ALSIP ILLINOIS 60803 (COOK)",60803DBRTC1271S,41.662,-87.712,0,0,0
84,"DELAVAL MANUFACTURING.1855 S MOUNT PROSPECT RD, DES PLAINES ILLINOIS 60018 (COOK)",60018WSTGR1855S,42.018,-87.919,30,0,30
85,"DELTROL FLUID PRODUCTS.3001 GRANT AVE, BELLWOOD ILLINOIS 60104 (COOK)",60104DLTRL3001G,41.889,-87.869,10,0,10
86,"DESTACO INDUSTRIAL MOTION CONTROL LLC.1444 S WOLF RD, WHEELING ILLINOIS 60090 (COOK)",60090CMMRC1444S,42.106,-87.911,0,0,0
87,"DIESEL RADIATOR CO.1985 JANICE AVE, MELROSE PARK ILLINOIS 60160 (COOK)",60160DSLRD1985J,41.91,-87.887,0.29,0,0.29
88,"DOBER CHEMICAL CORP.333 W 195TH ST, GLENWOOD ILLINOIS 60425 (COOK)",60425DBRCH333W1,41.535,-87.626,191,"2,755.31","2,946.31"
89,"DYNABURR CHICAGO INC.65 E LAKE ST, NORTHLAKE ILLINOIS 60164 (COOK)",60164DYNBR65EAS,41.901,-87.899,0,"136,007.86","136,007.86"
90,"DYNAMIC MANUFACTURING INC.1801 N 32ND AVE, MELROSE PARK ILLINOIS 60160 (COOK)",6016WDYNMC181N3,41.906,-87.873,34.09,6.66,40.75
91,"DYNAMIC MANUFACTURING INC.4201 RAYMOND DR, HILLSIDE ILLINOIS 60162 (COOK)",6016WDYNMC421RA,41.876,-87.889,22.61,2,24.61
92,"DYNAMIC MANUFACTURING INC.4300 W. MADISON, HILLSIDE ILLINOIS 60162 (COOK)",6016WDYNMC43WMA,41.878,-87.891,160,1.52,161.52
93,"DYNAMIC MANUFACTURING INC.4211 W MADISON ST, HILLSIDE ILLINOIS 60162 (COOK)",60162DYNMC4211W,41.878,-87.889,204,4.8625,208.8625
94,"EAGLE ELECTRONICS INC.1735 MITCHELL BLVD, SCHAUMBURG ILLINOIS 60193 (COOK)",60193GLLCT1735M,41.995,-88.091,0,5,5
95,"EDSAL MANUFACTURING CO INC.4400 S PACKER, CHICAGO ILLINOIS 60609 (COOK)",60609DSLMF4400S,41.815,-87.658,"37,987.20",0,"37,987.20"
96,"EKLIND TOOL CO.11040 KING ST, FRANKLIN PARK ILLINOIS 60131 (COOK)",6013WKLNDT114KI,41.941,-87.9,19,0,19
97,"ELASTOMER PROCESSING GROUP - C HICAGO.2448 W 24TH ST, CHICAGO ILLINOIS 60608 (COOK)",60608LSTMR2448W,41.849,-87.687,38.44,"2,267.00","2,305.44"
98,"ELE CORP.7847 W 47TH ST, MC COOK ILLINOIS 60525 (COOK)",60534PLRNC7847W,41.805,-87.817,253.1,21.02,274.12
99,"ELECTRO-MOTIVE DIESEL INC.9301 W 55TH ST, MC COOK ILLINOIS 60525 (COOK)",60525GMCLC9301W,41.793,-87.844,683,0,683
100,"ELECTRONIC INTERCONNECT CORP.2700 W TOUHY AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007LCTRN27WTU,42.008,-87.94,1,254,255
101,"ELKAY PLUMBING PRODUCTS CO.2700 S 17TH AVE, BROADVIEW ILLINOIS 60155 (COOK)",60153LKYMN2700S,41.854,-87.854,0,235,235
102,"EMPIRE HARD CHROME INC.1537 S WOOD ST, CHICAGO ILLINOIS 60608 (COOK)",60608MPRHR1537S,41.86,-87.67,5,1.65,6.65
103,"EMPIRE HARD CHROME INC.1615 S KOSTNER AVE, CHICAGO ILLINOIS 60623 (COOK)",60623MPRHR1615N,41.858,-87.734,31,"10,011.19","10,042.19"
104,"ENCHRO PLATING LTD.2755 W LAKE ST, MELROSE PARK ILLINOIS 60160 (COOK)",60160NCHRP2755W,41.896,-87.868,10,"67,723.57","67,733.57"
105,"ENGINEERED GLASS PRODUCTS LLC.929 W EXCHANGE AVE, CHICAGO ILLINOIS 60609 (COOK)",60608NGNRD929WE,41.819,-87.649,614.36,0,614.36
106,"ENGINEERED GLASS PRODUCTS LLC.2857 S HALSTED, CHICAGO ILLINOIS 60608 (COOK)",60608MRSCM2857S,41.842,-87.646,"8,599.55",0,"8,599.55"
107,"ENGIS CORP.105 W. HINTZ ROAD, WHEELING ILLINOIS 60090 (COOK)",60090NGSCR105HI,42.123,-87.919,5,"1,500.00","1,505.00"
108,"ENVIRITE OF ILLINOIS INC.16435 S CENTER AVE, HARVEY ILLINOIS 60426 (COOK)",60426NVRTF16435,41.59,-87.645,"2,398.61","788,113.68","790,512.29"
109,"ENVIRO TECH INTERNATIONAL INC.1800 N 25TH AVE, MELROSE PARK ILLINOIS 60160 (COOK)",6016WNVRTC18N25,41.906,-87.864,785,"1,126.00","1,911.00"
110,"ESSENTRA SPECIALTY TAPES.7400 W IND US TRIAL DR, FOREST PARK ILLINOIS 60130 (COOK)",60130DRCNC7400W,41.855,-87.809,"8,190.00",0,"8,190.00"
